learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
606000.0,116.62397279,1.4947742993361852E-5,606000.0,82.6,64.96456185567008,80.96280087527352,64.34426229508196,606000.0,495632.0
607000.0,116.781437234,1.4967933139934691E-5,607000.0,83.7,67.58257493794947,82.08791208791209,67.20321931589537,607000.0,495632.0
608000.0,116.943830173,1.4988755219875506E-5,608000.0,81.69999999999999,63.66683079464413,80.23758099352052,62.499999999999986,608000.0,495632.0
609000.0,117.103038373,1.5009168951457969E-5,609000.0,83.1,66.23754385123742,81.50984682713349,66.06425702811244,609000.0,495632.0
610000.0,117.261876212,1.5029535195222326E-5,610000.0,83.1,66.19999999999999,81.26385809312639,66.26746506986028,610000.0,495632.0
611000.0,117.415491637,1.5049231819220813E-5,611000.0,82.0,64.16969233709153,80.51948051948051,62.73291925465837,611000.0,495632.0
612000.0,117.575178701,1.5069706950914329E-5,612000.0,83.3,66.61709204887097,81.6079295154185,66.33064516129032,612000.0,495632.0
613000.0,117.736231184,1.5090357157113828E-5,613000.0,81.5,63.28636634252827,79.58057395143487,62.01232032854208,613000.0,495632.0
614000.0,117.904365291,1.5111915371641441E-5,614000.0,82.3,64.30012101653891,80.20134228187918,64.02439024390243,614000.0,495632.0
615000.0,118.057686988,1.5131574333732123E-5,615000.0,82.3,64.20279420449305,80.11235955056179,63.201663201663195,615000.0,495632.0
616000.0,118.222570838,1.5152715799160304E-5,616000.0,83.39999999999999,66.78179642444059,81.87772925764192,66.8,616000.0,495632.0
617000.0,118.383142156,1.517330431021372E-5,617000.0,81.6,63.15755750624719,79.64601769911503,63.05220883534135,617000.0,495632.0
618000.0,118.539902857,1.5193404222610774E-5,618000.0,83.2,66.28347569199153,81.93548387096776,66.19718309859154,618000.0,495632.0
619000.0,118.705117233,1.5214588068199305E-5,619000.0,84.3,68.71038974497971,82.89760348583877,68.41046277665995,619000.0,495632.0
620000.0,118.890236491,1.5238324124781546E-5,620000.0,82.1,64.22032285661743,80.45851528384279,64.05622489959838,620000.0,495632.0
621000.0,119.057379496,1.5259755259860997E-5,621000.0,83.89999999999999,67.65613448619459,82.61339092872569,67.27642276422763,621000.0,495632.0
622000.0,119.222401269,1.5280914409824907E-5,622000.0,83.3,66.56281785345303,81.52654867256636,66.19433198380567,622000.0,495632.0
623000.0,119.388692162,1.530223628680304E-5,623000.0,80.2,60.37606714455532,77.29357798165138,59.75609756097562,623000.0,495632.0
624000.0,119.55214585,1.5323194376354932E-5,624000.0,82.39999999999999,64.6624663189132,80.48780487804878,64.22764227642276,624000.0,495632.0
625000.0,119.710887055,1.534354822967371E-5,625000.0,83.8,67.56626891967646,82.46753246753246,67.40442655935614,625000.0,495632.0
626000.0,119.879622067,1.536518349245246E-5,626000.0,83.6,67.40962131569744,81.89845474613686,66.93548387096774,626000.0,495632.0
627000.0,120.040839793,1.5385854886167728E-5,627000.0,82.39999999999999,64.8730640268242,80.09049773755656,64.51612903225805,627000.0,495632.0
628000.0,120.200809218,1.54063662222883E-5,628000.0,83.89999999999999,67.75279008468398,82.22958057395144,67.92828685258964,628000.0,495632.0
629000.0,120.362017276,1.5427036376369195E-5,629000.0,80.4,60.91802755677854,78.12500000000001,60.48387096774195,629000.0,495632.0
630000.0,120.516918843,1.5446897909948753E-5,630000.0,82.3,64.84496031651452,80.28953229398664,63.65503080082134,630000.0,495632.0
631000.0,120.678881816,1.546766485949733E-5,631000.0,82.1,64.51088465046195,80.62770562770562,63.09278350515463,631000.0,495632.0
632000.0,120.846286334,1.548912952586592E-5,632000.0,81.3,62.69252254409064,79.22222222222221,62.29838709677418,632000.0,495632.0
633000.0,121.020037958,1.5511408020405478E-5,633000.0,80.80000000000001,61.480589828468254,78.52348993288591,61.290322580645174,633000.0,495632.0
634000.0,121.185647783,1.553264257060433E-5,634000.0,83.6,67.06086509415772,82.13507625272331,66.66666666666666,634000.0,495632.0
635000.0,121.344305566,1.5552985727524832E-5,635000.0,81.89999999999999,63.75795923270993,80.1098901098901,63.654618473895574,635000.0,495632.0
636000.0,121.509251195,1.5574135114278195E-5,636000.0,82.69999999999999,65.58583648299184,80.98901098901099,64.47638603696097,636000.0,495632.0
637000.0,121.666400563,1.5594284861695135E-5,637000.0,82.3,64.51768101996632,80.6768558951965,64.02439024390243,637000.0,495632.0
638000.0,121.826807111,1.561485224588101E-5,638000.0,83.6,67.13374162311219,81.77777777777777,66.93548387096774,638000.0,495632.0
639000.0,121.996778931,1.563664609261794E-5,639000.0,82.5,64.96272033443583,80.2927927927928,64.92985971943887,639000.0,495632.0
640000.0,122.152746462,1.5656644304477718E-5,640000.0,80.7,61.45026884942036,79.06724511930587,61.47704590818365,640000.0,495632.0
641000.0,122.310352929,1.567685266128973E-5,641000.0,83.2,66.41813420752793,81.69934640522875,65.64417177914109,641000.0,495632.0
642000.0,122.471266476,1.5697485053066285E-5,642000.0,81.69999999999999,63.42194683190085,79.9781181619256,62.95546558704452,642000.0,495632.0
643000.0,122.626035521,1.571732959462824E-5,643000.0,83.89999999999999,67.63038320800997,82.5,67.07566462167689,643000.0,495632.0
644000.0,122.783782441,1.5737555960373474E-5,644000.0,81.8,63.59999999999999,79.80022197558269,63.52705410821642,644000.0,495632.0
645000.0,122.948014462,1.5758613848057272E-5,645000.0,82.69999999999999,65.67106129997539,81.29729729729729,64.40329218106994,645000.0,495632.0
646000.0,123.107110421,1.577901318805911E-5,646000.0,82.6,65.0759497735958,81.31041890440385,65.2694610778443,646000.0,495632.0
647000.0,123.260756486,1.579871374072921E-5,647000.0,83.8,67.47340649809055,82.56189451022604,67.0061099796334,647000.0,495632.0
648000.0,123.417268135,1.581878171959094E-5,648000.0,79.60000000000001,59.556709819392964,76.65903890160183,58.53658536585367,648000.0,495632.0
649000.0,123.570948925,1.5838486724712793E-5,649000.0,84.8,69.54151971785828,83.29670329670328,69.10569105691057,649000.0,495632.0
650000.0,123.728276234,1.585865928778754E-5,650000.0,82.39999999999999,64.74203590703115,80.26905829596413,64.58752515090542,650000.0,495632.0
651000.0,123.893894424,1.587989491054964E-5,651000.0,82.89999999999999,65.8,80.9576837416481,65.59356136820925,651000.0,495632.0
652000.0,124.049904636,1.5899898594982296E-5,652000.0,81.89999999999999,63.733850543391135,80.24017467248908,62.90983606557376,652000.0,495632.0
653000.0,124.205657582,1.5919869292677654E-5,653000.0,82.1,64.28628433704169,80.41575492341356,63.98390342052313,653000.0,495632.0
654000.0,124.362243255,1.5939946762922788E-5,654000.0,82.5,64.87269865994362,80.89519650655022,64.85943775100401,654000.0,495632.0
655000.0,124.516238502,1.595969208783214E-5,655000.0,82.8,65.46170868156096,81.05726872246696,65.11156186612575,655000.0,495632.0
656000.0,124.671129947,1.5979552323565285E-5,656000.0,81.8,63.718423067108944,79.45823927765237,63.81709741550695,656000.0,495632.0
657000.0,124.8261383,1.5999427549283443E-5,657000.0,83.0,65.92804002052334,80.85585585585585,64.87603305785123,657000.0,495632.0
658000.0,124.992893841,1.6020809003592093E-5,658000.0,80.60000000000001,61.47736298649723,78.20224719101124,60.64908722109534,658000.0,495632.0
659000.0,125.147977421,1.6040693874942735E-5,659000.0,84.1,68.42732327243844,82.37250554323725,67.21649484536081,659000.0,495632.0
660000.0,125.30539036,1.60608774175263E-5,660000.0,82.0,64.25095827292407,79.82062780269058,63.03901437371662,660000.0,495632.0
661000.0,125.460607399,1.6080779401037015E-5,661000.0,83.1,66.19999999999999,81.30530973451327,66.33466135458167,661000.0,495632.0
662000.0,125.61664524,1.61007866280698E-5,662000.0,81.5,63.1265496814931,79.2134831460674,62.626262626262616,662000.0,495632.0
663000.0,125.77174999,1.612067421384531E-5,663000.0,82.8,65.65810648382934,81.38528138528139,65.3923541247485,663000.0,495632.0
664000.0,125.934989548,1.6141604847573045E-5,664000.0,81.10000000000001,62.24560730637392,79.18502202643172,61.9718309859155,664000.0,495632.0
665000.0,126.09208297,1.6161747421574125E-5,665000.0,83.1,66.12466124661246,81.46929824561403,66.06425702811244,665000.0,495632.0
666000.0,126.246332027,1.6181525290091237E-5,666000.0,82.5,64.99999999999999,80.93681917211329,64.92985971943887,666000.0,495632.0
667000.0,126.403662629,1.6201698275395608E-5,667000.0,84.8,69.6,83.1858407079646,69.04276985743381,667000.0,495632.0
668000.0,126.556562582,1.6221303161321794E-5,668000.0,83.0,66.10575005981337,81.31868131868131,65.65656565656565,668000.0,495632.0
669000.0,126.710563328,1.6241049191314866E-5,669000.0,83.1,66.14067846867712,81.90578158458244,66.26746506986028,669000.0,495632.0
670000.0,126.873339774,1.6261920444658547E-5,670000.0,82.19999999999999,64.36008329328847,80.43956043956044,64.04040404040403,670000.0,495632.0
671000.0,127.025704204,1.6281456665636708E-5,671000.0,84.39999999999999,68.84822295087206,82.93216630196937,68.92430278884461,671000.0,495632.0
672000.0,127.182372078,1.6301544675723068E-5,672000.0,82.6,65.19999999999999,80.87912087912088,65.47619047619047,672000.0,495632.0
673000.0,127.338151879,1.6321518816776E-5,673000.0,82.69999999999999,65.6325985728589,80.98901098901099,64.47638603696097,673000.0,495632.0
674000.0,127.493393577,1.6341423962072397E-5,674000.0,84.1,68.216527405749,82.60393873085339,68.00804828973843,674000.0,495632.0
675000.0,127.650054373,1.6361511064615098E-5,675000.0,82.19999999999999,64.26793428511779,80.94218415417559,63.59918200408997,675000.0,495632.0
676000.0,127.807895837,1.638174955282537E-5,676000.0,82.69999999999999,65.32065365556392,81.19565217391303,65.12096774193547,676000.0,495632.0
677000.0,127.97379472,1.6403021166142978E-5,677000.0,82.0,63.86819116135661,80.43478260869564,63.562753036437236,677000.0,495632.0
678000.0,128.1261238,1.6422552854531662E-5,678000.0,80.80000000000001,61.553864637565084,78.52348993288591,61.44578313253013,678000.0,495632.0
679000.0,128.281336772,1.6442454316570204E-5,679000.0,82.5,65.15277025520119,80.64159292035397,64.2126789366053,679000.0,495632.0
680000.0,128.438601975,1.6462618916391718E-5,680000.0,83.0,65.86715496713207,81.72043010752688,66.33663366336633,680000.0,495632.0
681000.0,128.591287302,1.648219628289645E-5,681000.0,81.10000000000001,62.52825250802967,79.2763157894737,61.2704918032787,681000.0,495632.0
682000.0,128.743906776,1.6501765205706284E-5,682000.0,84.6,69.045101688851,83.15098468271334,69.56521739130434,682000.0,495632.0
683000.0,128.910890414,1.652317590669276E-5,683000.0,82.8,65.41948973642413,81.30434782608695,64.96945010183298,683000.0,495632.0
684000.0,129.07147248,1.6543765795858527E-5,684000.0,81.6,63.5130579626802,79.64601769911503,62.44897959183673,684000.0,495632.0
685000.0,129.222756714,1.6563163513724405E-5,685000.0,83.2,66.50610864780376,81.61925601750546,65.99190283400809,685000.0,495632.0
686000.0,129.374556633,1.658262735290295E-5,686000.0,83.6,67.12741733748115,81.77777777777777,66.59877800407331,686000.0,495632.0
687000.0,129.533101309,1.6602956007203998E-5,687000.0,81.39999999999999,62.90756805264731,79.10112359550561,62.650602409638545,687000.0,495632.0
688000.0,129.687219755,1.6622717128732602E-5,688000.0,80.4,60.7031726173291,77.92792792792793,60.404040404040416,688000.0,495632.0
689000.0,129.844310494,1.6642859358718474E-5,689000.0,80.80000000000001,61.528442903801086,78.7139689578714,61.290322580645174,689000.0,495632.0
690000.0,130.007092345,1.6663731305093162E-5,690000.0,81.69999999999999,63.569039655996164,79.59866220735785,64.04715127701375,690000.0,495632.0
691000.0,130.166556329,1.6684177833390363E-5,691000.0,80.80000000000001,61.39570607655715,78.2312925170068,60.73619631901841,691000.0,495632.0
692000.0,130.320552351,1.6703923257670486E-5,692000.0,81.0,62.151545212967285,78.72340425531915,62.22664015904573,692000.0,495632.0
693000.0,130.477612734,1.6724061595399328E-5,693000.0,80.7,61.449652847132896,78.7912087912088,61.24497991967872,693000.0,495632.0
694000.0,130.633290364,1.6744022636050587E-5,694000.0,82.69999999999999,65.17937652969212,80.90507726269315,64.76578411405295,694000.0,495632.0
695000.0,130.795958985,1.676488006403472E-5,695000.0,81.5,62.89610910549538,79.2134831460674,62.626262626262616,695000.0,495632.0
696000.0,130.96044293,1.678597025350269E-5,696000.0,83.39999999999999,66.6130329847144,81.83807439824945,66.12244897959184,696000.0,495632.0
697000.0,131.115405341,1.6805839588521396E-5,697000.0,82.3,64.47295528811027,80.50660792951541,64.17004048582994,697000.0,495632.0
698000.0,131.267339188,1.682532059999536E-5,698000.0,82.3,64.70025128634677,80.76086956521739,64.52905811623245,698000.0,495632.0
699000.0,131.42642037,1.684571804528504E-5,699000.0,81.10000000000001,62.17670084772221,78.88268156424581,62.048192771084345,699000.0,495632.0
700000.0,131.580657329,1.6865494362592324E-5,700000.0,82.6,65.29093774311305,80.73089700996677,65.40755467196819,700000.0,495632.0
701000.0,131.73549485,1.6885347684171162E-5,701000.0,81.69999999999999,63.17314658295097,78.9655172413793,63.179074446680076,701000.0,495632.0
